Time (human) (seconds),,,,,,,,,,
,,red heart,heart,tiger object,letter from letter,consonant warm,vowel mult colors,letter,drink water,kitchen
Participant ID,pre-task,task 1,task 2,task 3,task 4,task 5,task 6,task 7,task 8,task 9
1,425,72,68,74,108,602,141,70,107,73
2,,112,42,141,224,442,224,42,44,42
3,108,213,118,112,205,325,228,49,51,49
4,,90,48,39,180,512,244,145,112,82
5,380,98,112,79,112,318,312,108,131,62
6,,188,108,131,135,612,424,185,82,116
7,551,284,190,49,91,224,183,144,114,81
8,,45,82,91,59,188,123,172,152,42
9,390,162,49,232,199,250,98,94,62,59
10,,88,65,82,68,184,158,79,58,67
11,45,255,80,165,128,275,255,224,138,75
12,,81,72,44,241,490,361,105,141,108
13,285,242,90,82,144,320,412,204,218,117
14,,108,95,64,58,182,275,118,146,89
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
,,,,,,,,,,
Time (LLM),,,,,,,,,,
Participant ID,,task 1,task 2,task 3,task 4,task 5,task 6,task 7,task 8,task 9
1,,47,9,11,16,181,108,10,31,6
2,108,52,12,32,42,224,180,42,25,19
3,,12,44,33,33,92,115,44,51,42
4,54,8,11,12,12,212,108,28,31,17
5,,90,32,44,32,48,51,22,17,4
6,330,18,62,108,55,117,112,61,42,19
7,,33,14,24,52,115,92,82,48,41
8,280,28,16,12,19,80,74,49,35,19
9,,42,33,19,52,42,59,41,19,27
10,125,72,72,64,34,245,221,108,55,43
11,,48,39,56,52,119,108,99,38,45
12,49,30,62,42,24,270,42,38,32,18
13,,42,32,12,12,24,51,61,29,12
14,412,141,38,8,7,22,29,25,24,15
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,